Nº;CANTON:;NOMBRE DEL LOCAL:;DIRECCIÓN:;A1;A2;B3;B4;C5;C6;C7;C8;C9;D10;D11;E12;E13;E14;E15;F161;F17;F18;G19;G20;G21;H22;H23;H24;I25;I26;I27;I281;J291;J30;K31
149;SUCRE;MECÁNICA MERO;Cristo Rey;1,91;1;2,2;1;1,18;1,71;3,43;3,5;2;3,33;4;4,25;2,14;2,83;1,88;50 HORAS;1,57;3,6;1,33;1,91;5;1,83;3,67;1;1,17;2;2,17;2;800;2;3,94
150;ROCAFUERTE;TALLER DE ELECTRÓNICA;Juan Montalbo y Eloy Alfaro;1,55;1,8;2,6;1,8;1,73;2;3,29;4,33;2;4,56;3,86;4,38;2,86;2,83;1,88;52 HORAS;2;3,2;2,17;1,82;5;1,83;4;1;1,33;1,4;2;2;1000;2;4,94
151;ROCAFUERTE;PAPELERÍA ALCÍVAR;San Eloy ;2,27;1,4;2;2,2;1,45;1,71;3,86;4,33;1;4,11;5;5;2,43;3,67;2;48 HORAS;1,57;3;1,5;1,82;5;2,17;3,67;1;1,67;1,8;2,33;1;1300;1,75;5
152;SUCRE;VENTA DE ARROZ;Pasadero;2,09;1,4;2,4;1;1,45;2;3;4,33;1;4,11;3,14;3,63;2,43;3;2,25;52 HORAS;2;3,6;2,17;2;5;1,83;3,67;1;1,17;1,6;2,33;2;1000;2;4,72
153;SUCRE;LOCALES URETA;Calle Eloy Alfaro de Charapoto;2;1;2,8;1,4;2,36;1,57;4,43;4,33;2;4,56;3,86;5;4,57;4,5;2,25;48 HORAS;2,14;3,8;1,67;2,45;5;2,5;4;1;1,5;1,8;2,33;2;800;2;5
154;ROCAFUERTE;VENTA DE GRANOS;San Eloy ;1,91;1,4;2;1;1,18;2,29;4,14;4,33;2;4,56;3,86;5;2,57;3,5;2;48 HORAS;1,43;3,6;2;1,91;5;2,17;3,67;1;1,33;1,8;2,5;2;1000;1;4,89
155;SUCRE;LUBRICANTES MUÑOZ;Anibal San Andres;1,91;1,4;2,2;2;2,18;2,14;3,71;4,33;2;4,11;5;5;2,71;3,67;2,38;48 HORAS;1,57;3,4;1,83;2,09;5;2;3,67;1;1,67;1,8;2,5;2;1000;1,92;4,89
156;ROCAFUERTE;FRIGORÍFICO VÁSQUEZ;Calle Pichincha;1,45;2;2,4;1;2,27;2;2,71;4,33;2;4,56;5;4,25;2,29;3,17;1,88;50 HORAS;1,86;3,4;2,17;1,73;5;1,83;3,67;1;1,17;1,8;2,67;2;1900;2,08;4,94
157;SUCRE;TIENDA VERA;Cañitas;1,55;1;2,8;1;1,18;1,57;3,14;3,5;1;3,33;4;5;3,43;3,67;1,75;52 HORAS;1,71;3,8;1,33;1,91;5;2,5;3,67;1;1;2,2;2,17;2;900;1,83;3,94
158;ROCAFUERTE;VENTA DE GRANOS SANCHEZ;San Andres;1,64;1,8;2,4;1,6;1,64;2,29;3,14;3,5;2;3,33;4;5;2,86;3,67;2;48 HORAS;1,71;3,6;1;2,09;5;2,17;3,67;1,33;1,33;1,6;2,5;2;1500;2;4
